AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Adams Co SO,2018, ,Adult,Grand total,Adams,12,4/29/2020,692
Adams Co SO,2018, ,Juvenile,Grand total,Adams,12,4/29/2020,123
Adams Co SO,2018, ,Total,Grand total,Adams,12,4/29/2020,815
Adams Co SO,2018,Aggravated Assault,Adult,Violent Crimes,Adams,12,4/29/2020,28
Adams Co SO,2018,Aggravated Assault,Juvenile,Violent Crimes,Adams,12,4/29/2020,8
Adams Co SO,2018,Aggravated Assault,Total,Violent Crimes,Adams,12,4/29/2020,36
Adams Co SO,2018,All Other Offenses,Adult,Other Crimes,Adams,12,4/29/2020,208
Adams Co SO,2018,All Other Offenses,Juvenile,Other Crimes,Adams,12,4/29/2020,12
Adams Co SO,2018,All Other Offenses,Total,Other Crimes,Adams,12,4/29/2020,220
Adams Co SO,2018,Arson,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Arson,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Arson,Total,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Burglary,Adult,Property Crimes,Adams,12,4/29/2020,18
Adams Co SO,2018,Burglary,Juvenile,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2018,Burglary,Total,Property Crimes,Adams,12,4/29/2020,19
Adams Co SO,2018,Curfew/Loitering Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Curfew/Loitering Violations,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Curfew/Loitering Violations,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Disorderly Conduct,Adult,Society Crimes,Adams,12,4/29/2020,66
Adams Co SO,2018,Disorderly Conduct,Juvenile,Society Crimes,Adams,12,4/29/2020,27
Adams Co SO,2018,Disorderly Conduct,Total,Society Crimes,Adams,12,4/29/2020,93
Adams Co SO,2018,Driving Under the Influence,Adult,Society Crimes,Adams,12,4/29/2020,82
Adams Co SO,2018,Driving Under the Influence,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Driving Under the Influence,Total,Society Crimes,Adams,12,4/29/2020,82
Adams Co SO,2018,Drug - Unknown,Adult,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Drug - Unknown,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Drug - Unknown,Total,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Drug Possession - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,33
Adams Co SO,2018,Drug Possession - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2018,Drug Possession - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,38
Adams Co SO,2018,Drug Possession - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2018,Drug Possession - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Drug Possession - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2018,Drug Possession - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,15
Adams Co SO,2018,Drug Possession - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2018,Drug Possession - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,20
Adams Co SO,2018,Drug Possession - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,17
Adams Co SO,2018,Drug Possession - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Drug Possession - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,17
Adams Co SO,2018,Drug Sale - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,4
Adams Co SO,2018,Drug Sale - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Drug Sale - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,4
Adams Co SO,2018,Drug Sale - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,4
Adams Co SO,2018,Drug Sale - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Drug Sale - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,4
Adams Co SO,2018,Drug Sale - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,10
Adams Co SO,2018,Drug Sale - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2018,Drug Sale - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,12
Adams Co SO,2018,Drug Sale - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2018,Drug Sale - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Drug Sale - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2018,Embezzlement,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Embezzlement,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Embezzlement,Total,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Forgery & Counterfeiting,Adult,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2018,Forgery & Counterfeiting,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Forgery & Counterfeiting,Total,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2018,Fraud,Adult,Property Crimes,Adams,12,4/29/2020,4
Adams Co SO,2018,Fraud,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Fraud,Total,Property Crimes,Adams,12,4/29/2020,4
Adams Co SO,2018,Gambling,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Gambling,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Gambling,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Larceny Theft,Adult,Property Crimes,Adams,12,4/29/2020,49
Adams Co SO,2018,Larceny Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,6
Adams Co SO,2018,Larceny Theft,Total,Property Crimes,Adams,12,4/29/2020,55
Adams Co SO,2018,Liquor Laws,Adult,Society Crimes,Adams,12,4/29/2020,10
Adams Co SO,2018,Liquor Laws,Juvenile,Society Crimes,Adams,12,4/29/2020,7
Adams Co SO,2018,Liquor Laws,Total,Society Crimes,Adams,12,4/29/2020,17
Adams Co SO,2018,Manslaughter by Negligence,Adult,Other Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Manslaughter by Negligence,Juvenile,Other Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Manslaughter by Negligence,Total,Other Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Motor Vehicle Theft,Adult,Property Crimes,Adams,12,4/29/2020,4
Adams Co SO,2018,Motor Vehicle Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,3
Adams Co SO,2018,Motor Vehicle Theft,Total,Property Crimes,Adams,12,4/29/2020,7
Adams Co SO,2018,Murder & Nonnegligent Manslaughter,Adult,Violent Crimes,Adams,12,4/29/2020,3
Adams Co SO,2018,Murder & Nonnegligent Manslaughter,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Murder & Nonnegligent Manslaughter,Total,Violent Crimes,Adams,12,4/29/2020,3
Adams Co SO,2018,Offenses Against Family and Children,Adult,Other Crimes,Adams,12,4/29/2020,10
Adams Co SO,2018,Offenses Against Family and Children,Juvenile,Other Crimes,Adams,12,4/29/2020,2
Adams Co SO,2018,Offenses Against Family and Children,Total,Other Crimes,Adams,12,4/29/2020,12
Adams Co SO,2018,Prostitution & Commercialized Vice,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2018,Prostitution & Commercialized Vice,Juvenile,Society Crimes,Adams,12,4/29/2020,0
