"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Adams County, WI"	"55001"	"1999"	"1999"	Suppressed	16065	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2000"	"2000"	Suppressed	16219	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2001"	"2001"	Suppressed	17886	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2002"	"2002"	Suppressed	18169	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2003"	"2003"	Suppressed	18266	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2004"	"2004"	Suppressed	18408	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2005"	"2005"	Suppressed	18839	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2006"	"2006"	Suppressed	18894	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2007"	"2007"	Suppressed	18839	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2008"	"2008"	Suppressed	18818	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2009"	"2009"	Suppressed	18750	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2010"	"2010"	Suppressed	18739	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2011"	"2011"	Suppressed	18631	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2012"	"2012"	Suppressed	18674	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2013"	"2013"	Suppressed	18577	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2014"	"2014"	Suppressed	18325	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2015"	"2015"	Suppressed	18264	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2016"	"2016"	Suppressed	18200	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2017"	"2017"	Suppressed	18185	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2018"	"2018"	10	18524	Unreliable	25.9	99.3	17.1	0.1%
	"Adams County, WI"	"55001"	"2019"	"2019"	Suppressed	18468	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Adams County, WI"	"55001"	"2020 "	"2020"	Suppressed	18744	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Adams County, WI"	"55001"			50	402484	12.4	9.2	16.4	1.8	0.5%
	"Ashland County, WI"	"55003"	"1999"	"1999"	Suppressed	14159	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2000"	"2000"	Suppressed	14166	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2001"	"2001"	Suppressed	14132	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2002"	"2002"	Suppressed	14147	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2003"	"2003"	Suppressed	14068	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2004"	"2004"	Suppressed	14061	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2005"	"2005"	Suppressed	13974	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2006"	"2006"	Suppressed	13964	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2007"	"2007"	Suppressed	13750	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2008"	"2008"	Suppressed	13750	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2009"	"2009"	Suppressed	13729	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2010"	"2010"	Suppressed	13701	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2011"	"2011"	Suppressed	13716	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2012"	"2012"	Suppressed	13603	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2013"	"2013"	Suppressed	13636	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2014"	"2014"	Suppressed	13679	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2015"	"2015"	Suppressed	13474	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2016"	"2016"	Suppressed	13441	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2017"	"2017"	Suppressed	13292	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2018"	"2018"	Suppressed	13403	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2019"	"2019"	Suppressed	13347	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashland County, WI"	"55003"	"2020 "	"2020"	Suppressed	13308	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Ashland County, WI"	"55003"			30	302500	9.9	6.7	14.2	1.8	0.3%
	"Barron County, WI"	"55005"	"1999"	"1999"	Suppressed	37799	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2000"	"2000"	Suppressed	38092	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2001"	"2001"	Suppressed	38466	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2002"	"2002"	Suppressed	38794	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2003"	"2003"	Suppressed	38894	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2004"	"2004"	Suppressed	39145	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2005"	"2005"	Suppressed	39212	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2006"	"2006"	Suppressed	39332	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2007"	"2007"	Suppressed	39266	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2008"	"2008"	Suppressed	39359	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2009"	"2009"	Suppressed	39220	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2010"	"2010"	Suppressed	39246	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2011"	"2011"	Suppressed	39312	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2012"	"2012"	Suppressed	39240	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2013"	"2013"	Suppressed	39072	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2014"	"2014"	Suppressed	38846	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2015"	"2015"	Suppressed	39004	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2016"	"2016"	Suppressed	38939	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2017"	"2017"	Suppressed	38843	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2018"	"2018"	Suppressed	38808	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2019"	"2019"	Suppressed	38994	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Barron County, WI"	"55005"	"2020 "	"2020"	Suppressed	38838	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Barron County, WI"	"55005"			29	856721	3.4	2.3	4.9	0.6	0.3%
	"Bayfield County, WI"	"55007"	"1999"	"1999"	Suppressed	12660	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2000"	"2000"	Suppressed	12799	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2001"	"2001"	Suppressed	12941	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2002"	"2002"	Suppressed	13079	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2003"	"2003"	Suppressed	13156	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2004"	"2004"	Suppressed	13248	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2005"	"2005"	Suppressed	13269	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2006"	"2006"	Suppressed	13319	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2007"	"2007"	Suppressed	13433	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2008"	"2008"	Suppressed	13352	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2009"	"2009"	Suppressed	13208	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2010"	"2010"	Suppressed	13239	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2011"	"2011"	Suppressed	13322	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2012"	"2012"	Suppressed	13383	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2013"	"2013"	Suppressed	13441	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2014"	"2014"	Suppressed	13318	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2015"	"2015"	Suppressed	13344	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2016"	"2016"	Suppressed	13283	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2017"	"2017"	Suppressed	13362	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2018"	"2018"	Suppressed	13388	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2019"	"2019"	Suppressed	13368	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bayfield County, WI"	"55007"	"2020 "	"2020"	Suppressed	13554	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Bayfield County, WI"	"55007"			Suppressed	291466	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"1999"	"1999"	Suppressed	186016	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2000"	"2000"	Suppressed	187560	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2001"	"2001"	Suppressed	189975	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2002"	"2002"	Suppressed	192097	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2003"	"2003"	Suppressed	194182	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2004"	"2004"	Suppressed	196598	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2005"	"2005"	Suppressed	198580	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2006"	"2006"	Suppressed	200186	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2007"	"2007"	Suppressed	202244	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2008"	"2008"	Suppressed	203504	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2009"	"2009"	Suppressed	205462	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2010"	"2010"	Suppressed	206743	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2011"	"2011"	Suppressed	209965	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2012"	"2012"	13	211502	Unreliable	3.3	10.5	1.7	0.1%
	"Brown County, WI"	"55009"	"2013"	"2013"	Suppressed	213020	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, WI"	"55009"	"2014"	"2014"	12	214923	Unreliable	2.9	9.8	1.6	0.1%
	"Brown County, WI"	"55009"	"2015"	"2015"	12	216928	Unreliable	2.9	9.7	1.6	0.1%
	"Brown County, WI"	"55009"	"2016"	"2016"	20	218751	9.1	5.6	14.1	2.0	0.2%
	"Brown County, WI"	"55009"	"2017"	"2017"	29	220183	13.2	8.8	18.9	2.4	0.3%
	"Brown County, WI"	"55009"	"2018"	"2018"	18	221831	Unreliable	4.8	12.8	1.9	0.2%
	"Brown County, WI"	"55009"	"2019"	"2019"	30	223571	13.4	9.1	19.2	2.4	0.3%
	"Brown County, WI"	"55009"	"2020 "	"2020"	36	224248	16.1	11.2	22.2	2.7	0.3%
"Total"	"Brown County, WI"	"55009"			221	4538069	4.9	4.2	5.5	0.3	2.1%
	"Buffalo County, WI"	"55011"	"1999"	"1999"	Suppressed	11624	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, WI"	"55011"	"2000"	"2000"	Suppressed	11691	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, WI"	"55011"	"2001"	"2001"	Suppressed	11728	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, WI"	"55011"	"2002"	"2002"	Suppressed	11686	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, WI"	"55011"	"2003"	"2003"	Suppressed	11726	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, WI"	"55011"	"2004"	"2004"	Suppressed	11736	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, WI"	"55011"	"2005"	"2005"	Suppressed	11898	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, WI"	"55011"	"2006"	"2006"	Suppressed	11854	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, WI"	"55011"	"2007"	"2007"	Suppressed	11891	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
