Notes,Year,Year Code,County,County Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,2002,2002,"Adams County, WI",55001,Opium,T40.0,Suppressed,18169,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Adams County, WI",55001,Heroin,T40.1,Suppressed,18169,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Adams County, WI",55001,Other opioids,T40.2,Suppressed,18169,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Adams County, WI",55001,Methadone,T40.3,Suppressed,18169,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Adams County, WI",55001,Other synthetic narcotics,T40.4,Suppressed,18169,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Adams County, WI",55001,Other and unspecified narcotics,T40.6,Suppressed,18169,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Ashland County, WI",55003,Opium,T40.0,Suppressed,14147,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Ashland County, WI",55003,Heroin,T40.1,Suppressed,14147,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Ashland County, WI",55003,Other opioids,T40.2,Suppressed,14147,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Ashland County, WI",55003,Methadone,T40.3,Suppressed,14147,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Ashland County, WI",55003,Other synthetic narcotics,T40.4,Suppressed,14147,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Ashland County, WI",55003,Other and unspecified narcotics,T40.6,Suppressed,14147,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Barron County, WI",55005,Opium,T40.0,Suppressed,38794,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
