AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Adams Co SO,2016, ,Adult,Grand total,Adams,12,4/29/2020,729
Adams Co SO,2016, ,Juvenile,Grand total,Adams,12,4/29/2020,124
Adams Co SO,2016, ,Total,Grand total,Adams,12,4/29/2020,853
Adams Co SO,2016,Aggravated Assault,Adult,Violent Crimes,Adams,12,4/29/2020,16
Adams Co SO,2016,Aggravated Assault,Juvenile,Violent Crimes,Adams,12,4/29/2020,1
Adams Co SO,2016,Aggravated Assault,Total,Violent Crimes,Adams,12,4/29/2020,17
Adams Co SO,2016,All Other Offenses,Adult,Other Crimes,Adams,12,4/29/2020,180
Adams Co SO,2016,All Other Offenses,Juvenile,Other Crimes,Adams,12,4/29/2020,7
Adams Co SO,2016,All Other Offenses,Total,Other Crimes,Adams,12,4/29/2020,187
Adams Co SO,2016,Arson,Adult,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2016,Arson,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Arson,Total,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2016,Burglary,Adult,Property Crimes,Adams,12,4/29/2020,40
Adams Co SO,2016,Burglary,Juvenile,Property Crimes,Adams,12,4/29/2020,3
Adams Co SO,2016,Burglary,Total,Property Crimes,Adams,12,4/29/2020,43
Adams Co SO,2016,Curfew/Loitering Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Curfew/Loitering Violations,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Curfew/Loitering Violations,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Disorderly Conduct,Adult,Society Crimes,Adams,12,4/29/2020,88
Adams Co SO,2016,Disorderly Conduct,Juvenile,Society Crimes,Adams,12,4/29/2020,35
Adams Co SO,2016,Disorderly Conduct,Total,Society Crimes,Adams,12,4/29/2020,123
Adams Co SO,2016,Driving Under the Influence,Adult,Society Crimes,Adams,12,4/29/2020,99
Adams Co SO,2016,Driving Under the Influence,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Driving Under the Influence,Total,Society Crimes,Adams,12,4/29/2020,99
Adams Co SO,2016,Drug - Unknown,Adult,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug - Unknown,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug - Unknown,Total,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug Possession - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,36
Adams Co SO,2016,Drug Possession - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,13
Adams Co SO,2016,Drug Possession - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,49
Adams Co SO,2016,Drug Possession - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2016,Drug Possession - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug Possession - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2016,Drug Possession - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,11
Adams Co SO,2016,Drug Possession - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug Possession - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,11
Adams Co SO,2016,Drug Possession - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,4
Adams Co SO,2016,Drug Possession - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug Possession - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,4
Adams Co SO,2016,Drug Sale - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,7
Adams Co SO,2016,Drug Sale - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug Sale - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,7
Adams Co SO,2016,Drug Sale - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2016,Drug Sale - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug Sale - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2016,Drug Sale - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,3
Adams Co SO,2016,Drug Sale - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2016,Drug Sale - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,4
Adams Co SO,2016,Drug Sale - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug Sale - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Drug Sale - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Embezzlement,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Embezzlement,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Embezzlement,Total,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Forgery & Counterfeiting,Adult,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2016,Forgery & Counterfeiting,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Forgery & Counterfeiting,Total,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2016,Fraud,Adult,Property Crimes,Adams,12,4/29/2020,10
Adams Co SO,2016,Fraud,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Fraud,Total,Property Crimes,Adams,12,4/29/2020,10
Adams Co SO,2016,Gambling,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Gambling,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Gambling,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Larceny Theft,Adult,Property Crimes,Adams,12,4/29/2020,56
Adams Co SO,2016,Larceny Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,5
Adams Co SO,2016,Larceny Theft,Total,Property Crimes,Adams,12,4/29/2020,61
Adams Co SO,2016,Liquor Laws,Adult,Society Crimes,Adams,12,4/29/2020,19
Adams Co SO,2016,Liquor Laws,Juvenile,Society Crimes,Adams,12,4/29/2020,10
Adams Co SO,2016,Liquor Laws,Total,Society Crimes,Adams,12,4/29/2020,29
Adams Co SO,2016,Manslaughter by Negligence,Adult,Other Crimes,Adams,12,4/29/2020,2
Adams Co SO,2016,Manslaughter by Negligence,Juvenile,Other Crimes,Adams,12,4/29/2020,0
Adams Co SO,2016,Manslaughter by Negligence,Total,Other Crimes,Adams,12,4/29/2020,2
Adams Co SO,2016,Motor Vehicle Theft,Adult,Property Crimes,Adams,12,4/29/2020,10
Adams Co SO,2016,Motor Vehicle Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,3
Adams Co SO,2016,Motor Vehicle Theft,Total,Property Crimes,Adams,12,4/29/2020,13
Adams Co SO,2016,Murder & Nonnegligent Manslaughter,Adult,Violent Crimes,Adams,12,4/29/2020,8
Adams Co SO,2016,Murder & Nonnegligent Manslaughter,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
